iter	Passed	Remaining
427	1873	2504
428	1874	2495
429	1876	2487
430	1878	2479
431	1879	2471
432	1881	2464
433	1882	2455
434	1884	2448
435	1886	2440
436	1888	2432
437	1890	2425
438	1891	2417
439	1893	2409
440	1895	2402
441	1897	2395
442	1899	2388
443	1901	2380
444	1902	2373
445	1905	2366
446	1906	2358
447	1908	2351
448	1910	2344
449	1912	2337
450	1913	2329
451	1915	2322
452	1917	2315
453	1919	2308
454	1922	2302
455	1924	2295
456	1926	2289
457	1928	2282
458	1930	2275
459	1932	2268
460	1934	2261
461	1936	2254
462	1937	2247
463	1939	2240
464	1942	2234
465	1944	2227
466	1946	2221
467	1948	2215
468	1950	2208
469	1952	2201
470	1954	2195
471	1956	2188
472	1957	2181
473	1959	2174
474	1962	2168
475	1964	2162
476	1966	2155
477	1967	2148
478	1969	2142
479	1971	2135
480	1972	2128
481	1976	2123
482	1978	2117
483	1980	2111
484	1982	2104
485	1985	2099
486	1987	2093
487	1989	2087
488	1991	2080
489	1993	2075
490	1996	2069
491	1998	2063
492	1999	2056
493	2001	2050
494	2003	2044
495	2007	2039
496	2009	2033
497	2011	2027
498	2013	2021
499	2015	2015
500	2018	2010
501	2020	2004
502	2022	1997
503	2024	1991
504	2025	1985
505	2026	1978
506	2028	1972
507	2030	1966
508	2032	1960
509	2034	1954
510	2036	1948
511	2038	1943
512	2040	1937
513	2043	1932
514	2045	1926
515	2047	1920
516	2049	1914
517	2051	1908
518	2053	1902
519	2055	1897
520	2058	1892
521	2060	1886
522	2061	1880
523	2063	1874
524	2065	1869
525	2067	1863
526	2069	1857
527	2072	1852
528	2074	1847
529	2076	1841
530	2078	1835
531	2080	1830
532	2081	1824
533	2083	1818
534	2085	1812
535	2088	1807
536	2090	1802
537	2092	1796
538	2094	1791
539	2096	1785
540	2098	1780
541	2100	1774
542	2102	1769
543	2104	1763
544	2106	1758
545	2108	1753
546	2110	1747
547	2112	1742
548	2114	1736
549	2117	1732
550	2120	1727
551	2122	1722
552	2124	1717
553	2126	1712
554	2128	1706
555	2130	1701
556	2132	1695
557	2133	1690
558	2135	1685
559	2138	1680
560	2141	1675
561	2143	1670
562	2145	1665
563	2147	1660
564	2149	1654
565	2150	1648
566	2152	1643
567	2156	1639
568	2159	1635
569	2162	1631
570	2168	1629
571	2170	1623
572	2171	1618
573	2174	1613
574	2176	1608
575	2178	1603
576	2181	1599
577	2184	1594
578	2187	1590
579	2190	1585
580	2191	1580
581	2194	1576
582	2198	1572
583	2201	1567
584	2204	1563
585	2209	1560
586	2213	1557
587	2218	1554
588	2222	1550
589	2225	1546
590	2228	1542
591	2233	1538
592	2240	1538
593	2243	1533
594	2247	1530
595	2250	1525
596	2256	1522
597	2258	1518
598	2262	1514
599	2268	1512
600	2271	1508
601	2274	1503
602	2277	1499
603	2281	1495
604	2285	1492
605	2290	1488
606	2294	1485
607	2297	1481
608	2301	1477
609	2306	1474
610	2310	1470
611	2315	1467
612	2320	1464
613	2326	1462
614	2331	1459
615	2335	1455
616	2339	1452
617	2343	1448
618	2348	1445
619	2354	1443
620	2359	1439
621	2365	1437
622	2370	1434
623	2374	1430
624	2381	1428
625	2383	1423
626	2387	1420
627	2391	1416
628	2397	1413
629	2400	1409
630	2406	1407
631	2414	1405
632	2420	1403
633	2423	1399
634	2427	1395
635	2431	1391
636	2434	1387
637	2437	1383
638	2443	1380
639	2445	1375
640	2449	1371
641	2452	1367
642	2458	1364
643	2460	1360
644	2462	1355
645	2466	1351
646	2470	1347
647	2472	1342
648	2475	1339
649	2477	1334
650	2480	1329
651	2484	1326
652	2489	1322
653	2493	1319
654	2496	1315
655	2500	1311
656	2504	1307
657	2508	1303
658	2511	1299
659	2517	1296
660	2520	1292
661	2522	1288
662	2524	1283
663	2526	1278
664	2529	1274
665	2533	1270
666	2537	1266
667	2540	1262
668	2542	1258
669	2545	1253
670	2548	1249
671	2550	1245
672	2565	1246
673	2568	1242
674	2572	1238
675	2574	1234
676	2579	1230
677	2582	1226
678	2585	1222
679	2589	1218
680	2593	1215
681	2596	1210
682	2600	1207
683	2602	1202
684	2605	1198
685	2608	1193
686	2612	1190
687	2614	1185
688	2618	1182
689	2621	1177
690	2625	1174
691	2628	1169
692	2631	1165
693	2635	1161
694	2639	1158
695	2644	1155
696	2649	1151
697	2652	1147
698	2656	1143
699	2659	1139
700	2663	1136
701	2666	1131
702	2668	1127
703	2671	1123
704	2674	1119
705	2679	1115
706	2682	1111
707	2685	1107
708	2688	1103
709	2692	1099
710	2697	1096
711	2702	1092
712	2706	1089
713	2711	1086
714	2716	1082
715	2720	1078
716	2727	1076
717	2732	1073
718	2737	1069
719	2742	1066
720	2743	1061
721	2747	1057
722	2755	1055
723	2761	1052
724	2766	1049
725	2772	1046
726	2776	1042
727	2784	1040
728	2789	1036
729	2793	1033
730	2801	1030
731	2807	1027
732	2810	1023
733	2817	1021
734	2820	1017
735	2824	1012
736	2827	1008
737	2832	1005
738	2836	1001
739	2840	998
740	2844	994
741	2850	991
742	2856	987
743	2861	984
744	2864	980
745	2870	977
746	2876	974
747	2884	971
748	2888	968
749	2895	965
750	2898	961
751	2901	956
752	2906	953
753	2911	949
754	2913	945
755	2920	942
756	2922	938
757	2925	933
758	2927	929
759	2929	925
760	2932	920
761	2934	916
762	2938	912
763	2942	909
764	2945	904
765	2948	900
766	2952	896
767	2955	892
768	2958	888
769	2960	884
770	2963	880
771	2967	876
772	2971	872
773	2975	868
774	2978	864
775	2980	860
776	2982	856
777	2984	851
778	2987	847
779	2989	843
780	2992	839
781	2996	835
782	2999	831
783	3001	826
784	3005	823
785	3008	819
786	3010	814
787	3014	810
788	3016	806
789	3019	802
790	3021	798
791	3024	794
792	3029	790
793	3037	788
794	3041	784
795	3048	781
796	3060	779
797	3071	777
798	3082	775
799	3084	771
800	3086	766
801	3089	762
802	3090	758
803	3092	753
804	3094	749
805	3095	745
806	3096	740
807	3098	736
808	3100	732
809	3102	727
810	3103	723
811	3105	719
812	3107	714
813	3108	710
814	3110	706
815	3112	701
816	3113	697
817	3115	693
818	3117	688
819	3119	684
820	3120	680
821	3122	676
822	3124	671
823	3125	667
824	3127	663
825	3129	659
826	3130	654
827	3132	650
828	3134	646
829	3136	642
830	3138	638
831	3139	633
832	3141	629
833	3143	625
834	3144	621
835	3146	617
836	3147	612
837	3149	608
838	3151	604
839	3153	600
840	3154	596
841	3156	592
842	3158	588
843	3159	584
844	3161	579
845	3163847	3187	571
848	3189	567
849	3191	563
850	3196	559
851	3199	555
852	3204	552
853	3206	548
854	3209	544
855	3213	540
856	3215	536
857	3218	532
858	3221	528
859	3222	524
860	3225	520
861	3228	516
862	3232	513
863	3234	509
864	3236	505
865	3238	501
866	3240	497
867	3243	493
868	3246	489
869	3248	485
870	3250	481
871	3253	477
872	3255	473
873	3257	469
874	3260	465
875	3262	461
876	3265	457
877	3267	453
878	3269	450
879	3271	446
880	3274	442
881	3276	438
882	3278	434
883	3280	430
884	3282	426
885	3284	422
886	3286	418
887	3288	414
888	3291	410
889	3293	407
890	3295	403
891	3297	399
892	3300	395
893	3301	391
894	3304	387
895	3307	383
896	3309	380
897	3312	376
898	3315	372
899	3317	368
900	3321	364
901	3323	361
902	3325	357
903	3327	353
904	3329	349
905	3333	345
906	3336	342
907	3337	338
908	3339	334
909	3341	330
910	3342	326
911	3344	322
912	3346	318
913	3348	315
914	3349	311
915	3351	307
916	3352	303
917	3354	299
918	3356	295
919	3358	292
920	3360	288
921	3362	284
922	3363	280
923	3365	276
924	3367	273
925	3369	269
926	3371	265
927	3373	261
928	3374	257
929	3377	254
930	3379	250
931	3381	246
932	3383	242
933	3385	239
934	3386	235
935	3389	231
936	3390	227
