iter	Logloss
0	0.6881839368
1	0.6839410087
2	0.6791825717
3	0.6744588405
4	0.6699877656
5	0.665475266
6	0.6616098357
7	0.65782625
8	0.6541169435
9	0.6494644972
10	0.6448050185
11	0.6401974156
12	0.6357672478
13	0.6318837554
14	0.6276393713
15	0.6245917568
16	0.6210733392
17	0.6176671898
18	0.6143531048
19	0.6121137362
20	0.6090558101
21	0.6062022072
22	0.603350575
23	0.5993748419
24	0.5956759226
25	0.5920922552
26	0.5889678902
27	0.5868934652
28	0.5839642571
29	0.5811232865
30	0.5782878605
31	0.5750911565
32	0.5713575449
33	0.569600268
34	0.5679343938
35	0.5644999756
36	0.5620761872
37	0.5592374234
38	0.5567963221
39	0.5533829523
40	0.5511853404
41	0.5486388992
42	0.5460354939
43	0.5435132064
44	0.5411892508
45	0.5385699874
46	0.5359603574
47	0.5342064611
48	0.5318146882
49	0.5297451631
50	0.5280823995
51	0.5260633317
52	0.524028914
53	0.5221857826
54	0.5204728504
55	0.5185442456
56	0.5160668118
57	0.51461458	0.58	0.51274659	0.4993501037
60	0.60	0.50919861	0.61	0.5069913703
62	0.505505641
63	0.503220812
64	0.5014438391
65	0.4995505017
66	0.4976117281
67	0.4960389119
68	0.4946844969	69	0.4930789270	0.4795838319
71	0.4777069391
72	0.47626229
73	0.47440942
74	0.4731297459
75	0.475	0.4837176	0.4696583999
77	0.467964733
78	0.4662911159
79	0.4645581385
80	0.463776843
81	0.4625437388
82	0.4611218235
83	0.459665234
84	0.4585218761
85	0.4569226929
86	0.4550780942
87	0.4536956812
88	0.4523246263
89	0.4512606642
90	0.449687233
91	0.448125623
92	0.4469450809
93	0.4458920546
94	0.4447089865
95	0.4437819005
96	0.4425187133
97	0.4413643161
98	0.4400528251
99	0.4391604931
100	0.4381915566
101	0.4369322986
102	0.4356664642
103	0.4347683803
104	0.4336987616
105	0.4328148832
106	0.4320522739
107	0.4314153253
108	0.4301774047
109	0.4291604218
110	0.4281512442
111	0.4273335818
112	0.426539272
113	0.4253971969
114	0.4242977176
115	0.4235665763
116	0.4234116	0.4117	0.4223117	0.4118	0.4214118	0.4119	0.4206119	0.4120	0.4195120	0.4121	0.4189121	0.4348139505
122	0.4340346596
123	0.4124	0.4167662626
125	0.4160824227
126	0.4154675766
127	0.4145341542
128	0.4136508236
129	0.4129810158
130	0.4122292341
131	0.4112490548
132	0.4107489554
133	0.4101195872
134	0.4095918521
135	0.4090325101
136	0.408136	0.42137	0.407137	0.42138	0.406138	0.4229121155
139	0.422036746
140	0.421141	0.40141	0.420142	0.142	0.41992143	0.143	0.41941144	144	0.4186732145	145	0.4182381146	0.4023203049
147	0.4017789378
148	0.401291811
149	0.4005904947
150	0.4000794702
151	0.3996233715
152	0.3991554034
153	0.3984330287
154	0.3978492089
155	0.3973325582
156	0.3967453006
157	0.3960305749
158	0.3956389167
159	0.3949957553
160	0.3945942559
161	0.3938802779
162	0.3935334563
163	0.3930911598
164	0.3925207054
165	0.3921137828
166	0.3916401034
167167	0.40643006168168	0.40591086169	0.3903126129
170	0.3897477943
171	0.3893229086
172	0.3887861269
173	0.3883399764
174	0.3879737501
175	0.3877114684
176	0.3871915765
177	177	0.3757387178178	0.37543957179179	0.37501346180180	0.3745381434
181	0.37386247
182	0.3734200859
183	0.3732522968
184	0.3728473503
185	0.3724190909
186	0.3719268316
187	0.37146512518188	0.3712751893
189	0.3708365752
190	0.3703588132
191	0.3700822529
192	0.3696348398
193	0.3692881299
194	0.3691917648
195	0.3688484144
196	0.3685861154
197	0.3682846548
198	0.367941701
199	0.3677015421
200	0.3674262696
201	0.3669478799
202	0.3665597552
203	0.3661796896
204	0.3658455118
205	0.3655087807
206	0.365154274
207	0.3646909581
208	0.364495809
209	0.3642708221
210	0.3637433945
211	0.363373771
212	0.3631471166
213	0.362701329
214	0.3624081984
215	0.361889762
216	0.36152087
217	0.3612573501
218	0.3610669628
219	0.3607797842
220	0.3607056096
221	0.3602828811
222	0.3599737381
223	0.3596416396
224	0.3593309769
225	0.3590112343
226	0.3586536983
227	0.3583537976
228	0.35827237
229	0.3580078932
230	0.3576329944
231	0.3573741905
232	0.3570808074
233	0.3566548074
234	0.356273981
235	0.3560575491
236	0.3560326104
237	0.3558487594
238	0.3555062388
239	0.3551990914
240	0.3548912788
241	0.3547259814
242	0.3543955808
243	0.3541003809
244	0.3538696915
245	0.3535331763
246	0.3531263705
247	0.3529197347
248	0.3527047613
249	0.3521899204
250	0.3519099787
251	0.3517872917
252	0.3516482588
253	0.3512576523
254	0.351040212
255	0.3508749048
256	0.3506669942
257	0.3504265788
258	0.3500149328
259	0.3498200975
260	0.3494321324
261	0.3491944873
262	0.3488624953
263	0.3487293607
264	0.3483655983
265	0.3481940301
266	0.3479455532
267	0.3475672845
268	0.3470932506
269	0.3469271951
270	0.3467358116
271	0.3464559126
272	0.3462895057
273	0.3458731067
274	0.3457478519
275	0.3455861
276	0.3454531852
277	0.3452450432
278	0.345206741
279	0.3451437984
280	0.3450597768
281	0.3448530322
282	0.3446131987
283	0.344507826
284	0.3442471445
285	0.3438681921
286	0.3436079415
287	0.3432407557
288	0.3430384839
289	0.3427480663
290	0.3425327159
291	0.3421211025
292	0.3420624008
293	0.341954602
294	0.3416678276
295	0.3414086945
296	0.3412660703
297	0.3412014342
298	0.3408075668
299	0.3405754692
300	0.3402739154
301	0.3398789909
302	0.3396764291
303	0.3395052401
304	0.3392051554
305	0.3389469029
306	0.3387405857
307	0.3386667861
308	0.3385338706
309	0.3382665501
310	0.3381364467
311	0.3627839928
312	0.3626533056
313	0.3624175978
314	0.3621766047
